scenario,model,rep,c_index,brier,auc,source_report,source_generated_on,source_sha256
eight_features,Survival SVM,4,0.5396,0.48775,0.5949,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,Weibull AFT,4,0.5543,0.4846,0.5967,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,KFRE,4,0.5391,0.73697,0.5791,generated_data/rep4/eight_features_clinical_validity_report.txt,2026-09-17 13:02:41,761a7ec97c8488ec082a003078913c6e8d90f44b68ac3cf62be5613a58671d43
eight_features,Cox,5,0.4703,0.57763,0.4253,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,Dynamic DeepHit,5,0.883,0.30165,0.962,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,Hazard Transformer,5,0.6653,0.42328,0.7065,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,Logistic Hazard,5,0.5329,0.47076,0.5283,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,RNN-Surv,5,0.5364,0.48734,0.6058,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,DeepSurv,5,0.4975,0.7601,0.4996,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,GBSA,5,0.5226,0.51273,0.5403,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,Survival RF,5,0.5207,0.52323,0.544,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,Survival SVM,5,0.5396,0.48775,0.5949,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,Weibull AFT,5,0.5543,0.4846,0.5967,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
eight_features,KFRE,5,0.5391,0.73697,0.5791,generated_data/rep5/eight_features_clinical_validity_report.txt,2026-09-15 08:50:21,1caf64cd6e39720f787f443a2587760187c8a924ef96f64ea88c15d15d7a5339
twenty_features_heterogeneous,Cox,1,0.4565,0.39675,0.433,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,Dynamic DeepHit,1,0.7969,0.26314,0.9019,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,Hazard Transformer,1,0.6198,0.36466,0.6747,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,Logistic Hazard,1,0.5145,0.37092,0.4999,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,RNN-Surv,1,0.5229,0.37328,0.5273,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,DeepSurv,1,0.532,0.37066,0.5429,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,GBSA,1,0.5211,0.37134,0.5289,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,Survival RF,1,0.5222,0.37216,0.5346,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,Survival SVM,1,0.5126,0.36903,0.5397,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,Weibull AFT,1,0.5253,0.37022,0.5459,generated_data/rep1/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:41:51,8de2913265f17d2d2f54295d528914056ff43ec61aca12414553ce137c501414
twenty_features_heterogeneous,Cox,2,0.4565,0.39675,0.433,generated_data/rep2/twenty_features_heterogeneous_clinical_validity_report.txt,2026-09-17 05:12:05,9d5e64172873684cafd8d2e384ba71f03ad432c49f5e814a6c3c1fff969f8909
